alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
0.017	-0.005	0.007	-0.005	0.027	-0.020	0.042	0.007	0.024	-0.045	0.012	-0.025	0.034	-0.034	0.047	-0.039	0.049	-0.061	0.209	-0.012	0.013	-0.025	-0.010	-0.037	-0.010	-0.051	-0.034	-0.079	-0.037	0.012	-0.017	-0.072	-0.071	-0.072	0.005	0.074	0.150	0.113	0.138	0.125	0.089	0.096	0.130	0.010	0.148	0.123	0.184	-0.007	-0.083	-0.133	-0.158	-0.236	-0.263	0.032	-0.094	-0.158	-0.211	-0.229	0.012	0.062	0.054	-0.145	-0.072	-0.045	-0.072	-0.002	-0.045	-0.025	-0.049	0.010	-0.061	-0.128	0.007	-0.012	0.005	0.005	0.150	0.420	0.396
-0.034	0.002	0.016	-0.030	-0.028	-0.046	-0.014	-0.040	-0.077	-0.072	-0.072	-0.135	-0.014	-0.113	-0.028	-0.113	0.062	-0.099	0.193	-0.024	0.040	-0.050	-0.002	-0.121	-0.008	-0.024	-0.012	-0.034	0.052	-0.002	-0.012	-0.024	-0.159	-0.129	-0.028	0.103	0.185	0.175	0.155	0.133	0.072	0.117	0.167	0.046	0.149	0.115	0.165	-0.058	-0.020	-0.095	-0.121	-0.219	-0.201	0.079	-0.087	-0.149	-0.185	-0.282	0.020	0.093	0.016	-0.077	-0.024	0.008	0.014	-0.072	-0.002	0.006	0.022	0.006	-0.139	-0.232	0.016	0.006	0.085	0.066	0.173	0.266	0.334
-0.022	-0.053	0.031	-0.006	0.071	-0.063	0.045	0.028	0.016	0.028	-0.011	0.041	-0.002	0.025	0.028	0.025	0.019	0.058	-0.085	-0.080	-0.071	-0.031	-0.024	-0.005	-0.028	0.039	0.102	0.078	-0.056	0.063	0.067	0.033	-0.091	-0.119	-0.031	0.088	0.141	0.110	0.100	0.091	0.045	0.064	0.100	-0.016	0.082	0.052	0.077	0.036	-0.050	-0.105	-0.196	-0.342	-0.353	0.063	-0.116	-0.304	-0.196	-0.207	-0.027	0.093	0.013	-0.088	-0.009	-0.191	-0.094	-0.100	-0.014	-0.014	0.022	-0.024	-0.074	-0.111	0.053	0.058	0.149	0.094	0.176	0.220	0.340
-0.011	-0.033	0.011	0.022	?	0.037	0.055	0.033	0.006	-0.007	-0.022	-0.033	0.055	-0.041	0.037	-0.041	0.002	-0.026	0.131	0.006	0.037	-0.028	0.066	0.059	-0.087	0.088	0.052	0.088	0.074	0.116	0.039	0.055	-0.090	-0.111	0.011	0.171	0.159	0.116	0.162	0.147	0.111	0.123	0.166	-0.217	0.118	0.096	0.129	-0.022	-0.066	-0.155	-0.225	-0.311	-0.348	0.129	-0.103	-0.271	-0.173	-0.251	0.029	0.020	-0.033	-0.028	-0.042	-0.033	0.072	-0.063	-0.037	0.022	-0.083	-0.055	?	-0.026	-0.031	0.020	0.127	0.053	0.072	0.206	0.201
0.025	-0.032	0.022	0.033	0.076	0.004	0.051	0.010	-0.006	-0.014	0.021	0.014	0.032	-0.014	0.042	-0.001	0.008	-0.028	-0.006	-0.010	-0.006	-0.063	-0.032	-0.013	-0.010	0.061	0.082	0.050	?	0.092	0.075	0.021	-0.117	-0.128	-0.028	0.079	0.100	0.114	0.119	0.110	0.113	0.083	0.101	0.075	0.083	0.076	0.081	-0.001	-0.086	-0.179	-0.269	-0.394	-0.425	0.178	-0.113	-0.242	-0.143	-0.263	0.006	0.058	-0.008	0.017	-0.035	-0.019	0.008	-0.113	-0.013	-0.047	0.025	-0.058	0.001	-0.117	0.010	0.006	0.036	0.051	0.081	0.179	0.297
-0.073	0.051	?	-0.049	-0.031	-0.095	-0.037	-0.105	-0.037	-0.065	-0.020	-0.049	0.051	-0.105	-0.024	-0.071	-0.071	-0.071	0.002	-0.102	-0.076	-0.073	-0.049	-0.017	-0.065	-0.010	-0.002	-0.034	-0.046	0.014	-0.037	-0.042	-0.076	-0.029	0.053	0.131	0.165	0.160	0.168	0.141	0.168	0.139	0.180	0.097	0.231	0.206	0.286	-0.039	-0.065	-0.073	-0.102	-0.195	-0.250	0.058	-0.058	-0.185	-0.190	-0.207	-0.039	-0.054	-0.058	-0.095	-0.121	-0.207	-0.058	-0.025	-0.049	-0.061	-0.099	-0.039	-0.212	-0.151	?	-0.015	0.014	-0.020	0.095	0.180	0.226
-0.036	-0.047	-0.006	-0.034	-0.010	-0.052	?	-0.069	-0.017	-0.066	-0.022	-0.044	-0.013	-0.063	?	-0.047	-0.042	-0.026	-0.013	-0.093	-0.104	-0.013	-0.058	-0.017	-0.055	-0.047	0.020	0.023	-0.044	0.028	0.016	-0.058	-0.050	-0.055	0.023	0.076	0.101	0.063	0.074	0.055	0.054	0.041	0.074	-0.063	0.118	0.099	0.137	-0.009	-0.104	-0.239	-0.233	-0.292	-0.309	0.134	-0.082	-0.122	-0.254	-0.300	-0.122	-0.009	-0.115	-0.204	-0.122	-0.204	0.066	0.061	0.026	?	-0.079	-0.079	-0.239	-0.208	0.010	0.009	0.042	0.031	0.149	0.181	0.204
-0.067	0.299	0.014	0.014	-0.035	-0.079	-0.104	-0.134	-0.042	-0.160	-0.051	-0.113	0.113	-0.069	-0.069	0.067	-0.088	0.007	-0.053	-0.130	-0.002	0.032	-0.097	0.007	-0.171	0.007	-0.009	0.028	-0.067	0.025	0.058	-0.046	-0.039	-0.051	0.044	0.060	0.090	0.086	0.097	0.095	0.060	0.014	0.074	0.060	0.074	0.046	0.079	-0.067	-0.023	-0.134	-0.218	-0.273	-0.206	0.137	-0.083	-0.118	-0.125	-0.245	-0.074	0.032	-0.009	-0.118	-0.104	-0.093	-0.023	-0.093	-0.097	-0.113	-0.028	-0.009	-0.188	-0.289	0.025	0.046	0.083	0.032	0.151	0.225	0.269
0.002	0.006	-0.013	-0.006	-0.017	-0.056	-0.044	-0.056	-0.023	-0.077	-0.012	-0.044	-0.017	-0.083	-0.035	-0.027	-0.142	-0.069	0.050	-0.077	-0.002	-0.013	-0.012	-0.038	-0.058	-0.035	-0.042	-0.073	-0.042	-0.013	-0.012	-0.048	0.086	0.044	0.094	0.131	0.081	0.121	0.138	0.113	0.113	0.021	0.111	0.123	0.119	0.136	0.175	-0.058	-0.090	-0.098	-0.165	-0.334	-0.334	0.021	-0.111	-0.192	-0.165	-0.334	-0.073	0.002	-0.048	-0.198	-0.119	-0.027	-0.017	-0.013	-0.044	-0.023	-0.056	0.175	-0.077	-0.104	-0.002	-0.035	-0.058	0.015	0.013	0.288	0.261
-0.160	-0.196	-0.057	-0.114	-0.080	-0.103	-0.044	0.095	-0.076	-0.023	-0.065	-0.044	-0.042	-0.055	-0.032	0.055	-0.154	-0.065	-0.029	-0.097	-0.061	-0.097	-0.042	-0.065	-0.061	-0.069	0.015	0.021	-0.061	0.036	-0.038	-0.080	-0.128	0.015	-0.069	-0.061	-0.029	-0.044	-0.011	0.099	0.036	-0.170	0.034	0.065	-0.233	-0.048	-0.061	0.057	-0.044	-0.175	-0.238	-0.273	-0.273	0.164	-0.023	-0.141	-0.179	-0.219	-0.097	?	-0.011	-0.225	-0.086	-0.135	-0.013	0.019	-0.019	-0.072	-0.019	-0.019	-0.132	-0.097	0.021	-0.027	0.086	0.006	0.053	0.214	0.334
-0.070	-0.015	-0.023	0.062	-0.080	0.046	-0.069	0.005	-0.041	0.011	0.026	-0.015	-0.011	-0.010	-0.020	?	-0.005	-0.011	0.117	0.065	0.054	-0.007	0.034	0.086	0.070	0.034	0.026	0.041	0.049	0.024	?	-0.023	0.072	0.023	-0.101	-0.088	-0.101	-0.077	-0.059	0.129	0.326	-0.137	-0.158	0.104	-0.095	-0.104	-0.129	0.023	-0.116	-0.153	-0.276	-0.336	-0.336	0.078	-0.080	-0.163	-0.210	-0.210	-0.091	0.033	0.011	-0.129	-0.069	-0.070	0.059	0.011	?	0.020	-0.044	0.046	-0.137	-0.116	0.007	-0.007	0.033	0.060	0.086	0.285	0.196
0.017	0.029	0.044	0.048	0.048	0.038	0.002	0.025	0.063	0.002	0.114	0.008	0.023	-0.008	0.029	0.040	-0.025	-0.099	0.124	-0.048	0.013	0.061	0.044	0.013	?	-0.013	-0.036	-0.008	-0.013	0.002	-0.038	-0.013	-0.015	-0.063	0.055	0.122	0.095	0.143	0.124	0.103	0.118	0.025	0.105	0.130	0.177	0.139	0.177	-0.019	-0.076	-0.160	-0.170	-0.271	-0.286	0.042	0.006	-0.135	-0.242	-0.336	?	0.065	-0.042	-0.145	-0.122	-0.141	0.055	0.053	0.025	0.023	0.267	0.111	-0.019	-0.046	-0.053	-0.071	-0.053	-0.042	0.015	0.303	0.254
0.033	0.096	0.043	0.047	-0.053	0.033	-0.018	0.002	0.007	0.045	-0.002	-0.069	-0.025	-0.069	-0.040	-0.065	-0.018	-0.058	0.279	0.100	0.134	0.013	0.053	0.051	0.018	0.053	0.007	0.013	0.072	0.080	0.029	0.051	0.013	?	0.087	0.178	0.203	0.205	0.203	0.201	0.161	0.150	0.188	0.252	0.214	0.201	0.284	0.014	-0.045	-0.092	-0.121	-0.101	-0.176	0.062	-0.065	-0.156	-0.098	-0.112	0.025	0.136	0.053	-0.045	-0.065	0.007	-0.049	0.053	0.051	0.080	-0.005	0.071	-0.002	-0.031	-0.013	-0.049	0.034	0.069	0.078	0.313	0.172
-0.017	-0.067	0.049	?	0.010	-0.121	-0.022	-0.148	-0.057	-0.111	-0.044	-0.133	-0.007	-0.126	-0.022	-0.116	-0.049	-0.067	-0.126	-0.239	-0.126	-0.165	-0.188	-0.094	-0.126	-0.079	0.010	-0.037	-0.099	-0.022	-0.062	-0.104	-0.084	-0.057	-0.049	-0.106	-0.099	-0.133	?	0.262	0.057	-0.262	-0.057	0.064	-0.158	-0.044	-0.126	-0.175	-0.072	-0.089	-0.044	-0.170	-0.200	-0.054	-0.089	-0.308	-0.104	-0.200	0.101	0.047	0.015	-0.030	-0.067	0.007	-0.079	-0.025	-0.084	-0.165	?	0.096	-0.138	-0.138	-0.099	-0.126	-0.015	-0.035	0.059	0.121	0.101
-0.002	-0.036	-0.058	0.007	-0.031	-0.005	-0.031	-0.007	0.038	0.020	0.014	0.056	0.056	-0.013	0.067	0.022	0.002	0.033	-0.125	0.029	0.078	0.110	0.096	0.128	0.060	0.121	0.070	0.105	0.058	0.070	0.007	0.022	-0.058	0.018	0.022	0.067	-0.042	0.052	0.042	0.056	0.058	0.002	0.038	0.188	-0.040	-0.042	-0.036	-0.045	-0.072	-0.065	-0.072	-0.042	0.020	-0.018	0.007	-0.042	-0.085	-0.161	-0.061	-0.265	-0.419	-0.238	-0.146	-0.166	0.079	-0.005	-0.042	-0.208	-0.146	-0.134	-0.305	-0.462	0.002	-0.011	-0.007	-0.022	0.011	0.067	-0.031
0.039	-0.074	0.013	0.006	0.049	0.082	0.032	0.044	0.047	0.057	0.068	0.054	0.054	-0.077	0.085	0.024	0.079	0.076	-0.074	-0.128	-0.085	?	-0.016	-0.063	-0.054	-0.024	0.011	-0.011	-0.046	0.006	-0.009	-0.074	-0.035	0.013	0.057	0.038	0.079	0.087	0.114	0.122	0.112	0.051	0.081	0.079	0.063	0.098	0.180	0.002	?	?	?	-0.141	-0.077	0.262	?	0.092	-0.149	-0.253	-0.035	-0.074	-0.344	-0.325	-0.239	-0.259	-0.027	0.107	-0.036	-0.133	-0.022	-0.158	-0.092	-0.299	0.030	0.044	0.092	0.047	0.047	-0.098	-0.221
0.016	-0.111	-0.018	-0.127	-0.010	-0.093	0.078	-0.065	-0.003	-0.036	-0.026	-0.083	-0.010	-0.150	-0.065	-0.075	?	-0.098	0.137	-0.083	-0.109	-0.161	-0.150	-0.197	-0.145	-0.078	0.016	0.067	-0.140	0.083	0.078	0.010	-0.127	-0.150	-0.111	-0.098	-0.065	-0.060	0.021	0.016	-0.031	0.021	0.065	-0.161	0.085	0.085	0.106	-0.078	0.016	0.078	0.098	-0.057	-0.155	-0.122	-0.031	-0.259	0.117	0.326	-0.075	-0.098	-0.003	-0.093	-0.026	-0.370	0.041	-0.008	0.039	-0.039	-0.078	-0.150	0.003	-0.251	0.016	-0.036	-0.078	-0.155	-0.065	-0.075	-0.184
0.021	-0.041	0.051	-0.030	0.021	-0.035	0.002	0.104	?	0.034	-0.011	0.073	0.011	-0.030	0.069	0.046	0.106	0.092	-0.106	-0.016	0.051	0.080	0.129	0.089	0.069	0.092	0.051	0.050	-0.005	-0.002	-0.012	-0.051	-0.087	-0.041	0.014	0.028	0.057	0.037	0.034	0.027	-0.005	-0.044	0.005	0.043	-0.025	-0.051	-0.011	-0.032	?	-0.035	-0.048	-0.071	0.025	0.027	0.043	0.051	0.014	0.019	-0.011	-0.177	-0.344	-0.308	-0.163	-0.067	0.051	-0.149	-0.131	-0.216	0.074	0.005	-0.344	-0.228	0.019	0.035	0.014	-0.074	-0.177	-0.267	-0.437
-0.039	0.019	-0.046	0.020	-0.054	0.031	-0.061	0.034	0.051	0.090	0.071	-0.017	0.032	-0.010	0.066	0.061	0.061	0.047	-0.102	0.061	-0.005	0.066	0.125	0.129	0.127	0.093	0.063	0.083	0.108	0.007	-0.015	-0.005	-0.046	0.041	-0.002	0.017	-0.015	0.005	0.027	0.064	0.034	-0.034	-0.010	0.144	-0.064	0.031	-0.042	0.002	-0.037	-0.071	-0.105	0.051	-0.061	0.012	0.119	0.110	-0.012	-0.039	-0.034	-0.256	-0.419	-0.303	-0.190	-0.237	0.088	0.066	-0.058	-0.190	-0.058	-0.049	-0.195	-0.264	0.075	0.017	0.019	-0.061	-0.015	-0.224	-0.339
0.006	-0.022	-0.037	0.011	-0.016	0.022	0.006	0.046	0.053	0.037	0.067	0.030	0.026	0.016	0.059	0.064	0.024	0.059	-0.086	0.024	-0.058	0.106	0.161	0.150	0.160	0.149	0.110	0.101	0.078	0.059	0.002	0.067	-0.029	-0.006	0.029	0.034	0.059	0.032	0.045	0.042	0.051	-0.011	0.011	0.107	0.010	-0.014	0.006	-0.010	-0.118	-0.078	-0.075	-0.016	-0.043	0.048	0.059	0.123	-0.005	-0.043	-0.040	-0.235	-0.422	-0.286	-0.174	-0.122	0.066	-0.014	-0.064	-0.169	-0.043	-0.072	-0.147	-0.286	0.054	0.037	0.030	-0.029	-0.082	-0.249	-0.395
-0.022	-0.100	-0.090	-0.087	-0.043	-0.103	-0.013	0.040	-0.022	-0.009	-0.042	0.030	-0.025	-0.029	0.004	0.055	0.001	0.014	-0.129	-0.009	0.009	0.053	0.103	0.059	0.023	0.116	0.066	0.055	0.014	0.020	0.017	0.010	-0.049	-0.017	0.009	0.010	0.012	0.012	0.001	0.012	0.052	-0.004	0.020	0.139	0.001	-0.025	0.014	-0.010	-0.052	-0.061	-0.110	-0.017	-0.032	?	-0.036	0.027	-0.055	-0.006	-0.097	-0.335	-0.347	-0.259	-0.176	-0.103	0.075	0.012	-0.103	-0.202	-0.121	-0.084	-0.251	-0.335	-0.004	-0.043	0.004	-0.039	-0.081	-0.289	-0.382
-0.025	-0.063	-0.076	-0.054	-0.057	-0.103	-0.010	0.016	-0.034	-0.067	-0.030	0.046	-0.022	-0.037	-0.004	0.024	0.018	0.036	-0.150	0.024	-0.051	0.036	0.039	0.036	0.016	0.090	0.055	0.058	0.010	0.021	-0.004	0.031	-0.057	-0.022	0.012	0.037	0.030	0.031	0.031	0.046	0.034	0.022	0.027	0.151	0.004	-0.010	0.016	-0.064	-0.063	-0.064	-0.106	-0.015	-0.040	0.021	0.009	0.034	-0.013	-0.018	-0.043	-0.245	-0.395	-0.283	-0.177	-0.159	0.058	0.006	-0.100	-0.198	-0.100	-0.057	-0.299	-0.326	0.010	-0.037	0.009	-0.037	-0.084	-0.260	-0.395
-0.041	-0.088	-0.136	-0.101	-0.061	-0.124	-0.032	0.034	-0.022	0.029	-0.045	0.065	0.011	-0.007	-0.016	0.090	-0.013	0.022	-0.257	-0.097	-0.032	0.013	0.075	0.043	0.097	0.074	0.092	0.079	-0.039	0.038	-0.005	0.056	-0.081	-0.036	0.027	0.032	0.041	0.041	0.029	0.043	0.014	?	0.041	0.124	-0.039	-0.052	-0.027	-0.025	-0.018	-0.052	-0.154	-0.013	-0.077	0.045	-0.016	0.061	?	-0.068	-0.032	-0.224	-0.391	-0.219	-0.136	-0.271	0.070	-0.054	-0.084	-0.244	-0.022	-0.075	-0.108	-0.381	0.022	0.036	0.095	-0.016	-0.054	-0.219	-0.280
-0.056	-0.017	-0.098	-0.033	-0.069	-0.002	-0.077	-0.065	0.006	0.065	0.015	-0.044	0.035	-0.008	0.021	-0.006	-0.048	0.012	-0.262	?	-0.112	0.108	0.056	0.104	0.071	0.168	0.100	0.110	0.029	0.054	0.054	0.015	-0.017	0.006	0.035	-0.002	-0.083	-0.019	0.060	0.060	?	-0.091	-0.044	-0.058	-0.123	-0.033	-0.035	-0.027	-0.058	-0.098	-0.133	0.079	-0.087	0.062	0.013	0.116	0.058	-0.065	-0.012	-0.227	-0.374	-0.204	-0.152	-0.156	0.065	-0.033	-0.129	-0.216	-0.019	-0.081	-0.091	-0.291	0.040	-0.019	0.040	0.021	-0.039	-0.283	-0.374
0.053	-0.028	-0.026	0.022	0.007	0.015	0.028	-0.011	0.026	-0.041	0.033	-0.063	0.048	-0.066	0.072	-0.033	0.070	-0.041	-0.140	-0.042	0.059	0.029	0.061	0.044	0.033	0.048	0.033	0.085	0.046	0.015	-0.037	-0.026	-0.031	-0.013	0.028	0.085	0.122	0.114	0.098	0.114	0.039	0.026	0.061	-0.107	0.002	-0.028	0.083	-0.031	-0.155	-0.131	-0.146	?	-0.087	-0.074	-0.031	-0.013	-0.311	-0.295	0.013	-0.140	-0.348	-0.258	-0.149	-0.033	0.077	0.002	-0.079	-0.155	0.081	-0.079	-0.238	-0.302	0.026	-0.006	0.107	0.020	-0.018	-0.206	-0.302
0.064	0.022	0.022	0.025	0.021	0.011	0.037	0.041	0.057	0.036	0.049	0.026	0.047	0.029	0.078	0.054	0.067	0.035	-0.025	0.011	0.048	0.146	0.129	0.082	0.103	0.089	0.076	0.054	0.053	0.036	0.015	0.025	-0.049	-0.007	0.035	0.033	0.055	0.047	0.036	0.036	0.039	0.011	0.033	0.041	0.013	0.022	0.018	0.012	-0.207	-0.271	-0.281	-0.180	-0.094	0.070	-0.011	0.138	-0.380	-0.474	-0.013	-0.153	-0.289	-0.219	-0.123	-0.113	0.054	0.013	-0.054	-0.101	0.023	0.004	0.001	-0.119	-0.027	-0.007	-0.016	-0.027	-0.033	-0.145	0.001
-0.052	-0.087	-0.075	-0.068	-0.039	-0.084	-0.057	-0.064	-0.032	-0.068	-0.041	-0.071	-0.012	-0.045	0.012	0.007	-0.045	-0.091	-0.144	-0.053	0.014	0.041	0.005	0.045	0.027	0.036	0.045	0.025	-0.021	-0.025	-0.039	-0.061	-0.045	-0.071	-0.025	0.086	0.086	0.043	0.014	0.021	-0.032	-0.027	0.037	-0.068	-0.084	-0.100	-0.071	-0.027	-0.153	-0.150	-0.230	-0.164	-0.075	-0.027	-0.041	0.125	-0.389	-0.413	-0.027	-0.135	-0.168	-0.153	-0.045	-0.091	0.002	-0.107	-0.159	-0.242	-0.032	-0.048	-0.168	-0.150	0.025	-0.012	0.061	-0.053	-0.045	-0.164	-0.328
-0.008	?	-0.041	0.008	-0.038	0.017	-0.028	0.010	0.011	0.041	0.017	-0.031	0.008	-0.004	0.042	0.004	0.027	0.011	-0.200	0.006	0.073	0.021	0.122	0.108	0.063	0.059	0.017	0.052	0.073	-0.004	-0.071	-0.010	-0.076	-0.050	-0.014	0.022	0.042	0.050	-0.050	0.052	0.001	-0.020	0.028	0.050	-0.060	-0.071	-0.056	0.004	-0.251	-0.153	-0.251	-0.129	-0.048	-0.014	-0.006	0.126	-0.346	-0.069	-0.014	-0.206	-0.336	-0.224	-0.144	-0.106	0.088	-0.024	-0.060	-0.200	-0.045	-0.013	-0.200	-0.265	0.015	-0.025	0.046	0.014	-0.013	-0.206	-0.325
0.032	0.040	-0.010	0.032	0.005	0.020	0.013	0.002	0.039	0.050	0.034	0.002	0.044	-0.037	0.069	0.017	0.047	0.012	-0.205	0.025	-0.042	0.089	0.114	0.085	0.064	0.089	0.050	0.080	0.085	0.039	-0.023	0.047	-0.085	-0.075	-0.025	0.010	0.040	0.039	-0.023	0.025	-0.005	-0.064	0.005	0.012	-0.060	-0.085	-0.034	0.007	-0.094	-0.042	-0.037	-0.042	0.013	-0.015	?	0.044	-0.355	-0.268	-0.025	-0.136	-0.317	-0.221	-0.132	-0.107	0.094	-0.025	-0.054	-0.205	-0.104	-0.107	-0.246	-0.345	0.023	-0.007	0.097	0.042	-0.039	-0.216	-0.335
-0.009	-0.006	-0.077	-0.028	-0.066	-0.016	-0.027	-0.019	0.002	-0.027	0.006	-0.005	0.011	-0.105	0.052	0.022	0.022	0.011	0.005	0.056	-0.060	0.136	0.124	0.141	0.177	0.122	0.071	0.064	0.064	0.071	0.044	0.053	-0.042	-0.028	0.022	-0.009	0.028	0.061	-0.005	0.041	0.052	-0.080	-0.011	0.047	-0.009	-0.039	0.022	0.028	-0.108	-0.042	?	-0.050	?	-0.016	0.028	?	-0.171	-0.176	-0.042	-0.162	-0.376	-0.296	-0.231	-0.224	0.024	0.024	-0.042	-0.135	-0.094	-0.094	-0.180	-0.323	0.053	-0.006	0.053	0.049	-0.016	-0.213	-0.387
0.059	-0.006	-0.038	0.018	-0.044	0.012	0.002	0.018	0.057	0.009	0.039	0.002	0.023	0.002	0.078	0.065	0.038	0.039	-0.018	0.059	0.136	0.163	0.145	0.145	0.163	0.128	0.101	0.072	0.077	0.074	0.036	0.044	-0.044	0.018	0.069	0.069	0.094	0.083	0.050	0.059	0.054	0.002	0.039	0.063	0.042	0.021	0.048	0.023	-0.127	-0.090	-0.130	-0.074	-0.035	-0.044	-0.005	0.112	-0.255	-0.285	-0.015	-0.169	-0.329	-0.311	-0.199	-0.130	0.036	0.021	-0.057	-0.146	0.005	-0.044	-0.065	-0.270	0.066	0.032	0.069	0.054	0.015	-0.195	-0.329
-0.065	-0.059	-0.062	-0.042	-0.087	-0.034	-0.104	-0.067	0.012	0.022	-0.016	-0.050	-0.019	-0.045	0.005	0.006	-0.002	-0.026	-0.053	0.043	-0.047	0.053	0.039	0.053	0.059	0.099	0.053	0.061	0.011	-0.009	0.040	0.028	-0.002	0.039	0.022	0.039	0.006	-0.011	0.011	0.051	0.183	-0.067	0.033	0.123	-0.076	-0.062	-0.026	0.025	-0.160	-0.165	-0.183	-0.090	-0.036	-0.002	0.023	0.123	-0.301	-0.270	-0.028	-0.249	-0.262	-0.200	-0.146	-0.189	0.023	-0.016	-0.087	-0.146	-0.151	-0.059	-0.183	-0.360	0.030	0.009	0.057	-0.039	-0.042	-0.189	-0.286
-0.008	-0.012	-0.023	0.001	-0.046	-0.005	-0.051	0.041	0.076	0.009	0.054	-0.016	0.016	0.008	0.056	0.068	0.027	0.008	-0.078	0.015	0.078	0.092	0.103	0.110	0.094	0.066	0.037	0.084	0.051	0.031	-0.012	0.011	-0.058	-0.009	0.020	-0.051	-0.158	-0.040	-0.016	0.179	?	-0.173	-0.177	0.087	-0.008	-0.040	-0.027	0.043	-0.214	-0.182	-0.246	-0.202	-0.106	0.037	-0.016	0.104	-0.331	-0.310	0.009	-0.154	-0.292	-0.202	-0.134	-0.068	0.051	-0.075	-0.058	-0.126	0.032	0.020	-0.119	-0.102	0.019	-0.016	-0.024	-0.106	-0.102	-0.115	-0.310
0.030	0.013	-0.005	?	-0.025	-0.023	0.025	-0.028	0.010	0.038	0.005	0.020	0.017	-0.020	0.035	-0.007	0.038	0.025	-0.066	-0.036	0.068	0.111	0.128	0.126	0.071	0.095	0.056	0.055	0.081	0.053	0.012	0.020	-0.005	0.038	0.080	0.085	0.108	0.096	0.114	0.101	0.080	0.068	0.091	-0.025	0.060	0.038	0.086	0.017	-0.139	-0.232	-0.219	-0.166	-0.025	0.139	-0.038	0.158	-0.272	-0.280	-0.023	-0.015	-0.362	-0.289	-0.161	-0.134	0.055	0.018	-0.081	-0.171	-0.050	-0.007	-0.036	-0.171	0.038	0.027	0.063	0.038	0.041	-0.181	-0.305
0.198	0.151	0.060	0.001	0.033	0.023	0.011	?	0.052	0.035	0.027	0.018	0.018	-0.003	?	0.044	-0.043	-0.008	-0.008	-0.028	0.016	0.132	0.026	0.076	0.055	0.005	-0.101	-0.098	-0.071	-0.172	-0.092	-0.061	-0.036	-0.007	0.027	0.047	0.052	0.056	0.044	0.088	0.034	0.017	0.047	0.065	0.013	-0.026	0.016	0.018	-0.192	-0.228	-0.228	-0.155	-0.046	0.030	-0.020	0.171	-0.312	-0.362	-0.017	-0.163	-0.312	-0.159	-0.096	-0.147	0.063	-0.039	-0.028	-0.134	0.005	-0.049	-0.167	-0.178	0.011	-0.033	-0.020	-0.073	-0.092	-0.134	-0.273
0.010	-0.021	-0.010	-0.047	-0.026	?	-0.002	0.002	-0.031	-0.012	-0.078	-0.043	-0.035	-0.052	-0.029	-0.050	0.031	0.059	-0.007	-0.052	0.045	0.010	0.093	0.033	-0.074	-0.052	-0.093	-0.081	0.028	-0.107	-0.073	-0.097	0.017	0.021	0.079	0.057	0.079	0.067	0.062	0.041	0.066	0.005	0.066	-0.007	0.073	0.028	0.154	-0.100	-0.211	-0.211	-0.261	-0.183	-0.093	-0.078	-0.059	0.085	-0.301	-0.276	-0.088	-0.162	-0.228	-0.159	-0.162	-0.104	0.002	0.071	-0.131	-0.162	-0.107	-0.024	-0.145	-0.235	-0.029	-0.085	-0.038	-0.029	-0.066	-0.216	-0.326
-0.042	?	-0.037	0.006	-0.025	0.009	-0.022	0.044	-0.001	-0.013	0.015	-0.025	?	0.001	0.035	0.018	0.023	-0.034	0.020	-0.020	0.031	0.070	0.034	0.037	0.009	-0.037	-0.034	-0.053	0.035	-0.079	-0.088	-0.085	0.006	0.037	0.067	0.063	0.085	0.083	0.085	0.075	0.076	0.029	0.077	0.061	0.085	0.012	0.156	-0.047	-0.183	-0.234	-0.269	-0.221	-0.142	-0.029	-0.034	0.130	-0.329	-0.374	-0.020	-0.164	-0.173	-0.173	-0.199	-0.047	-0.037	0.057	-0.111	-0.159	-0.042	0.042	-0.094	-0.135	?	-0.082	-0.053	-0.085	-0.053	-0.240	-0.301
0.007	-0.037	-0.016	-0.020	?	-0.073	0.002	0.002	-0.024	-0.036	-0.002	-0.088	-0.020	-0.037	0.041	-0.044	0.060	-0.055	-0.095	-0.065	0.020	-0.002	0.067	0.033	0.051	-0.010	-0.016	-0.037	-0.005	-0.062	-0.059	-0.068	-0.036	0.018	0.051	0.051	0.086	0.088	0.072	0.046	0.067	0.010	0.065	0.023	0.047	0.047	0.083	-0.047	-0.210	-0.222	-0.228	-0.178	-0.121	0.029	-0.041	0.099	-0.091	-0.098	-0.015	-0.240	-0.355	-0.300	-0.150	-0.073	0.018	0.041	-0.121	-0.168	-0.037	-0.047	-0.132	-0.292	0.010	-0.028	-0.037	-0.080	-0.049	-0.292	-0.336
